id,企划,资源类型,系列,名称,别名,年份,格式,大小,网盘路径,分享链接,提取码,有效期,状态,更新时间,排序值
resource-7f5de7e45f97,765AS,演唱会,其他,[2006.07.23] THE IDOLM@STER 1st ANNIVERSARY LIVE,,2006,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家 LIVE/[2006.07.23] THE IDOLM@STER 1st ANNIVERSARY LIVE,,imas,永久,待分享,,10
resource-9a51e7514597,765AS,演唱会,其他,[2012.05.24] THE IDOLM@STER WINTER C@RNIVAL!,,2012,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家 LIVE/[2012.05.24] THE IDOLM@STER WINTER C@RNIVAL!,,imas,永久,待分享,,20
resource-5b3e403ea93b,765AS,演唱会,其他,[2025.12] THE IDOLM@STER M@STERS OF IDOL WORLD 2025,,2025,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家 LIVE/[2025.12] THE IDOLM@STER M@STERS OF IDOL WORLD 2025,,imas,永久,待分享,,30
resource-a250b44d07b5,765AS,演唱会,其他,[2026.05.16] MIKI HOSHII SOLO SHOWCASE -THE FUTURE SPOTLIGHT- at Anime Central 2026,,2026,MP4,,/00-偶像大师 ALL IN ONE/1-765AS/本家 LIVE/[2026.05.16] MIKI HOSHII SOLO SHOWCASE -THE FUTURE SPOTLIGHT- at Anime Central 2026,,imas,永久,待分享,,40
resource-1adbbad474bf,765AS,演唱会,其他,[TD-RAWS] THE IDOLM@STER New Year Live!! Hatsuboshi Enbu [BDRip 1080p HEVC-10bit FLAC],,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家 LIVE/[TD-RAWS] THE IDOLM@STER New Year Live!! Hatsuboshi Enbu [BDRip 1080p HEVC-10bit FLAC],,imas,永久,待分享,,50
resource-8c5bf51bf7b4,765AS,动画,其他,[2008] 偶像大师 Live For You!,,2008,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[2008] 偶像大师 Live For You!,,imas,永久,待分享,,60
resource-3f4b58c0a9d6,765AS,动画,其他,[2011] 偶像大师,,2011,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[2011] 偶像大师,,imas,永久,待分享,,70
resource-6a49de2a3d9f,765AS,动画,其他,[2013] 迷你偶像大师 第一季,,2013,MP4,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[2013] 迷你偶像大师 第一季,,imas,永久,待分享,,80
resource-133eed14c6c5,765AS,动画,其他,[2014] 迷你偶像大师 第二季,,2014,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[2014] 迷你偶像大师 第二季,,imas,永久,待分享,,90
resource-a3c7d40859cd,765AS,动画,[VCB-Studio] THE IDOLM@STER,[VCB-Studio] THE IDOLM@STER [Ma10p_1080p],,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[VCB-Studio] THE IDOLM@STER/[VCB-Studio] THE IDOLM@STER [Ma10p_1080p],,imas,永久,待分享,,100
resource-51fc20e265f1,765AS,动画,[VCB-Studio] THE IDOLM@STER [Ma10p_1080p],SPs,,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[VCB-Studio] THE IDOLM@STER/[VCB-Studio] THE IDOLM@STER [Ma10p_1080p]/SPs,,imas,永久,待分享,,110
resource-86e1420c052e,765AS,动画,[VCB-Studio] THE IDOLM@STER,[VCB-Studio] THE IDOLM@STER MOVIE [Ma10p_1080p],,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[VCB-Studio] THE IDOLM@STER/[VCB-Studio] THE IDOLM@STER MOVIE [Ma10p_1080p],,imas,永久,待分享,,120
resource-c23a3ac55da7,765AS,动画,[VCB-Studio] THE IDOLM@STER MOVIE [Ma10p_1080p],SPs,,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/[VCB-Studio] THE IDOLM@STER/[VCB-Studio] THE IDOLM@STER MOVIE [Ma10p_1080p]/SPs,,imas,永久,待分享,,130
resource-bb6fbb36e46b,765AS,动画,其他,偶像大师 XENOGLOSSIA,,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/偶像大师 XENOGLOSSIA,,imas,永久,待分享,,140
resource-095ab8050fa8,765AS,动画,偶像大师 XENOGLOSSIA,EXTRA,,,MKV,,/00-偶像大师 ALL IN ONE/1-765AS/本家动画/偶像大师 XENOGLOSSIA/EXTRA,,imas,永久,待分享,,150
resource-140b1fc87673,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2017.10.28] [SBCV-80270] THE iDOLM@STER アイ MUST GO! ～10thメモリアルフィギュアver.～,,2017,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2017.10.28] [SBCV-80270] THE iDOLM@STER アイ MUST GO! ～10thメモリアルフィギュアver.～.rar,,imas,永久,待分享,,160
resource-56428c60a589,765AS,Hi-Res,[00A] 偶像大师周年曲&20周年企划,[2020.09.30] COCC-17812 THE IDOLM@STERシリーズ15周年記念曲「なんどでも笑おう」【765PRO ALLSTARS盤】 (96kHz_24bit),,2020,RAR Hi-Res,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2020.09.30] COCC-17812 THE IDOLM@STERシリーズ15周年記念曲「なんどでも笑おう」【765PRO ALLSTARS盤】 (96kHz_24bit).rar,,imas,永久,待分享,,170
resource-9a1762c5dbe6,765AS,Hi-Res,[00A] 偶像大师周年曲&20周年企划,[2021.08.04] COCC-17911 THE IDOLM@STERシリーズ イメージソング2021 「VOY@GER」 【765PRO ALLSTARS盤】 [96kHz_24bit],,2021,RAR Hi-Res,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2021.08.04] COCC-17911 THE IDOLM@STERシリーズ イメージソング2021 「VOY@GER」 【765PRO ALLSTARS盤】 [96kHz_24bit].rar,,imas,永久,待分享,,180
resource-876ae088ed2e,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2023.07.26] ANCF-0079 『CRYST@LOUD』CD,,2023,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2023.07.26] ANCF-0079 『CRYST@LOUD』CD.rar,,imas,永久,待分享,,190
resource-f763940b3eaf,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2024.03.16] SACX-1093 『菊地 真・萩原 雪歩 twin live はんげつであえたら』会場オリジナルCD,,2024,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2024.03.16] SACX-1093 『菊地 真・萩原 雪歩 twin live はんげつであえたら』会場オリジナルCD.rar,,imas,永久,待分享,,200
resource-190082c74626,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2024.08.24] SACX-1095 961 PRODUCTION presents 『ReFLAME』会場オリジナルCD,,2024,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2024.08.24] SACX-1095 961 PRODUCTION presents 『ReFLAME』会場オリジナルCD.rar,,imas,永久,待分享,,210
resource-e6851de07ff7,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2024.12.11] COCC-18231 『アイドルマスター』シリーズ 20周年記念曲 「アイ NEED YOU（FOR WONDERFUL STORY）」 【765PRO ALLSTARS盤】,,2024,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2024.12.11] COCC-18231 『アイドルマスター』シリーズ 20周年記念曲 「アイ NEED YOU（FOR WONDERFUL STORY）」 【765PRO ALLSTARS盤】.rar,,imas,永久,待分享,,220
resource-880265fc48e6,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2025.02.01] SACX-1099 961 PRODUCTION presents『ReFLAME』-Additional Show- 会場オリジナルCD,,2025,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2025.02.01] SACX-1099 961 PRODUCTION presents『ReFLAME』-Additional Show- 会場オリジナルCD.rar,,imas,永久,待分享,,230
resource-a01ca86f5576,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2025.10.18] SACX-1113 『高槻やよい ・ 水濑伊织 twin live いつまでもなかよし！ 』会場オリジナルCD,,2025,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2025.10.18] SACX-1113 『高槻やよい ・ 水濑伊织 twin live いつまでもなかよし！ 』会場オリジナルCD.rar,,imas,永久,待分享,,240
resource-c1e7d11d63c2,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2026.01.24] THE IDOLM@STER 20th anniversary ORCHESTRA CONCERT SYMPHONY OF BRILLIANT STARS コンサートアルバム,,2026,ZIP,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2026.01.24] THE IDOLM@STER 20th anniversary ORCHESTRA CONCERT SYMPHONY OF BRILLIANT STARS コンサートアルバム.zip,,imas,永久,待分享,,250
resource-d1d38a2896c2,765AS,CD,[00A] 偶像大师周年曲&20周年企划,[2026] 如月千早武道館単独公演「OathONE」（会場オリジナルCD）,,2026,ZIP,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00A] 偶像大师周年曲&20周年企划/[2026] 如月千早武道館単独公演「OathONE」（会場オリジナルCD）.zip,,imas,永久,待分享,,260
resource-31102a0195e9,765AS,CD,[01] ANIM@TION MASTER,[2011.08.10] THE iDOLM@STER ANIM@TION MASTER 01 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.08.10] THE iDOLM@STER ANIM@TION MASTER 01 (FLAC).rar,,imas,永久,待分享,,270
resource-1fa34cca1500,765AS,CD,[01] ANIM@TION MASTER,[2011.08.24] THE iDOLM@STER レンタル限定特別版CD (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.08.24] THE iDOLM@STER レンタル限定特別版CD (FLAC).rar,,imas,永久,待分享,,280
resource-34d6833bcda1,765AS,CD,[01] ANIM@TION MASTER,[2011.09.07] THE iDOLM@STER ANIM@TION MASTER 02 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.09.07] THE iDOLM@STER ANIM@TION MASTER 02 (FLAC).rar,,imas,永久,待分享,,290
resource-28f51054230b,765AS,CD,[01] ANIM@TION MASTER,[2011.10.05] THE iDOLM@STER ANIM@TION MASTER 03 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.10.05] THE iDOLM@STER ANIM@TION MASTER 03 (FLAC).rar,,imas,永久,待分享,,300
resource-2c27fe63c420,765AS,CD,[01] ANIM@TION MASTER,[2011.11.09] THE iDOLM@STER ANIM@TION MASTER 04 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.11.09] THE iDOLM@STER ANIM@TION MASTER 04 (FLAC).rar,,imas,永久,待分享,,310
resource-379b745a6a07,765AS,CD,[01] ANIM@TION MASTER,[2011.11.30] THE iDOLM@STER ANIM@TION MASTER 05 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.11.30] THE iDOLM@STER ANIM@TION MASTER 05 (FLAC).rar,,imas,永久,待分享,,320
resource-346e6d9f9912,765AS,CD,[01] ANIM@TION MASTER,[2011.12.28] THE iDOLM@STER ANIM@TION MASTER 06 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2011.12.28] THE iDOLM@STER ANIM@TION MASTER 06 (FLAC).rar,,imas,永久,待分享,,330
resource-e44376df7e65,765AS,CD,[01] ANIM@TION MASTER,[2012.02.01] THE iDOLM@STER ANIM@TION MASTER 07 (FLAC),,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2012.02.01] THE iDOLM@STER ANIM@TION MASTER 07 (FLAC).rar,,imas,永久,待分享,,340
resource-80619df58bec,765AS,CD,[01] ANIM@TION MASTER,[2013.07.07] [SACX-1024] THE iDOLM@STER ANIM@TION MASTER READY!!,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2013.07.07] [SACX-1024] THE iDOLM@STER ANIM@TION MASTER READY!!.rar,,imas,永久,待分享,,350
resource-ce5df3ec9f4b,765AS,CD,[01] ANIM@TION MASTER,[2013.09.15] THE iDOLM@STER ANIM@TION MASTER CHANGE!!!! ソロ・リミックス (FLAC),,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[01] ANIM@TION MASTER/[2013.09.15] THE iDOLM@STER ANIM@TION MASTER CHANGE!!!! ソロ・リミックス (FLAC).rar,,imas,永久,待分享,,360
resource-483713d21a50,765AS,CD,[02] 生っすかSPECIAL,[2012.08] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 01,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2012.08] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 01.rar,,imas,永久,待分享,,370
resource-dd3b014eff4d,765AS,CD,[02] 生っすかSPECIAL,[2012.09] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 02,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2012.09] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 02.rar,,imas,永久,待分享,,380
resource-87637ca8842e,765AS,CD,[02] 生っすかSPECIAL,[2012.09] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 03,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2012.09] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 03.rar,,imas,永久,待分享,,390
resource-d5f2659c1a28,765AS,CD,[02] 生っすかSPECIAL,[2012.10] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 04,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2012.10] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 04.rar,,imas,永久,待分享,,400
resource-977f76e9f0ea,765AS,CD,[02] 生っすかSPECIAL,[2012.11] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 05,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2012.11] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 05.rar,,imas,永久,待分享,,410
resource-f10fbcfd9052,765AS,CD,[02] 生っすかSPECIAL,[2013.01] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL カーテンコール,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2013.01] THE iDOLM@STER ANIM@TION MASTER 生っすかSPECIAL カーテンコール.rar,,imas,永久,待分享,,420
resource-b9aaaad09184,765AS,CD,[02] 生っすかSPECIAL,[2013.04] THE IDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 弦楽四重奏 初恋組曲,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[02] 生っすかSPECIAL/[2013.04] THE IDOLM@STER ANIM@TION MASTER 生っすかSPECIAL 弦楽四重奏 初恋組曲.rar,,imas,永久,待分享,,430
resource-4b2115550c36,765AS,CD,[03] PERFECT IDOL,[2011.10.27] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 01」 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[03] PERFECT IDOL/[2011.10.27] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 01」 (FLAC).rar,,imas,永久,待分享,,440
resource-4c15c9405231,765AS,CD,[03] PERFECT IDOL,[2011.12.29] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 02」 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[03] PERFECT IDOL/[2011.12.29] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 02」 (FLAC).rar,,imas,永久,待分享,,450
resource-b4672c08bfee,765AS,CD,[03] PERFECT IDOL,[2012.02.23] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 03」 (FLAC),,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[03] PERFECT IDOL/[2012.02.23] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 03」 (FLAC).rar,,imas,永久,待分享,,460
resource-99c8c258cf9a,765AS,CD,[03] PERFECT IDOL,[2012.04.26] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 04」 (FLAC),,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[03] PERFECT IDOL/[2012.04.26] THE iDOLM@STER ANIM@TION Vocal CD「PERFECT IDOL 04」 (FLAC).rar,,imas,永久,待分享,,470
resource-e9b1ef6676ca,765AS,CD,[03] PERFECT IDOL,[2014.10.08] THE iDOLM@STER PERFECT IDOL THE MOVIE,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[03] PERFECT IDOL/[2014.10.08] THE iDOLM@STER PERFECT IDOL THE MOVIE.rar,,imas,永久,待分享,,480
resource-9014e6b30bcd,765AS,CD,[04] 本家动画其他,[2011.11.23] THE iDOLM@STER ANIM@TION Drama CD (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/[2011.11.23] THE iDOLM@STER ANIM@TION Drama CD (FLAC).rar,,imas,永久,待分享,,490
resource-f5417cc1fbd9,765AS,CD,[04] 本家动画其他,[2012.03.29] THE iDOLM@STER ANIM@TION Drama CD 'Producer no Kyuujitsu' (FLAC),,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/[2012.03.29] THE iDOLM@STER ANIM@TION Drama CD 'Producer no Kyuujitsu' (FLAC).rar,,imas,永久,待分享,,500
resource-eda7c463f844,765AS,CD,[04] 本家动画其他,[2012.06.28] THE iDOLM@STER ANIM@TION Vol.9 Drama CD 'Namassuka! Sunday Okurairi Hen' (FLAC),,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/[2012.06.28] THE iDOLM@STER ANIM@TION Vol.9 Drama CD 'Namassuka! Sunday Okurairi Hen' (FLAC).rar,,imas,永久,待分享,,510
resource-7fa0c180baea,765AS,CD,[04] 本家动画其他,2011.07.30 [MIM-001] THE iDOLM@STER メガミマガジン スペシャルCD,,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/2011.07.30 [MIM-001] THE iDOLM@STER メガミマガジン スペシャルCD.rar,,imas,永久,待分享,,520
resource-b79282c75719,765AS,CD,[04] 本家动画其他,2011.08.12 [ANXC-0003] 「アイドルマスター」765プロ SUMMER ST@RT SET Special Talk＆Drama CD,,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/2011.08.12 [ANXC-0003] 「アイドルマスター」765プロ SUMMER ST@RT SET Special Talk＆Drama CD.rar,,imas,永久,待分享,,530
resource-dc89f9b61e06,765AS,CD,[04] 本家动画其他,2011.08.24 [COCR-100] THE iDOLM@STER レンタル限定特別版CD,,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/2011.08.24 [COCR-100] THE iDOLM@STER レンタル限定特別版CD.rar,,imas,永久,待分享,,540
resource-66b970984df3,765AS,CD,[04] 本家动画其他,2011.12.29 [ANXC-0009] THE IDOLM@STER 765PRO WINTER SPECI@L SET Special CD,,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00B] 动画相关/[04] 本家动画其他/2011.12.29 [ANXC-0009] THE IDOLM@STER 765PRO WINTER SPECI@L SET Special CD.rar,,imas,永久,待分享,,550
